starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 02 12:36:37 2025	1740915397	1	2	3	1
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	1
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	1	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:36 2025	1740915396	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:36 2025	1740915396	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:36 2025	1740915396	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:36 2025	1740915396	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	1	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:36 2025	1740915396	0	3	4	1
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	1	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	1
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
